comment_score,Positive,Negative
1,0.33271250636474514,0.8565822037496595
319,0.1388888888888889,0.9444444444444444
404,0.2631578947368421,0.8947368421052632
539,0.25,0.875
896,0.0,1.0
901,0.5,1.0
1040,0.0,1.0
1071,0.16666666666666666,1.0
1118,0.0,1.0
1583,0.0,1.0
1875,0.0,1.0
1909,0.0,1.0
2691,0.0,1.0
3542,0.0,1.0
5962,0.0,1.0
11284,0.0,1.0
-309,0.0,1.0
-296,0.0,1.0
-19,0.3033126293995859,0.8209109730848861
115,0.2594142259414226,0.9246861924686193
153,0.29012345679012347,0.9197530864197531
718,0.14285714285714285,0.8571428571428571
1074,1.0,1.0
1953,0.0,1.0
2619,0.0,1.0
2925,1.0,1.0
3361,0.5,1.0
-147,0.0,0.5
-27,0.33260393873085337,0.8161925601750547
96,0.25552825552825553,0.9090909090909091
250,0.2923076923076923,0.9538461538461539
377,0.16666666666666666,0.9333333333333333
743,0.3333333333333333,1.0
859,0.0,1.0
929,0.125,1.0
1132,0.0,0.5
1136,0.5,0.5
1163,0.5,1.0
1218,0.0,1.0
1609,1.0,1.0
1685,0.0,1.0
1787,1.0,1.0
2086,0.5,1.0
2413,1.0,1.0
2492,0.0,1.0
2637,0.0,1.0
3197,0.0,1.0
3314,0.0,1.0
6475,0.0,1.0
10968,0.0,1.0
-2,0.2887464179901889,0.8359318082471222
328,0.2571428571428571,0.9142857142857143
849,0.0,0.8
890,0.5,1.0
1115,0.0,1.0
1126,0.0,1.0
1130,0.25,1.0
1279,0.0,1.0
1446,0.0,1.0
1534,1.0,1.0
1560,0.0,1.0
1726,1.0,1.0
2050,0.0,1.0
2396,0.0,1.0
2610,0.0,1.0
2747,0.0,1.0
3103,0.0,1.0
11109,1.0,1.0
-146,0.75,0.25
185,0.25217391304347825,0.8869565217391304
349,0.34615384615384615,0.9615384615384616
375,0.3076923076923077,1.0
632,0.5,1.0
1054,0.25,0.75
1582,0.0,1.0
1774,0.0,1.0
2228,0.0,1.0
10231,0.0,1.0
104,0.24561403508771928,0.8771929824561403
219,0.3333333333333333,0.9206349206349206
368,0.18518518518518517,0.9259259259259259
515,0.07692307692307693,0.8461538461538461
623,0.2857142857142857,1.0
834,0.5,1.0
944,0.25,1.0
978,0.3333333333333333,0.6666666666666666
1075,0.0,1.0
1151,0.0,1.0
1232,0.0,1.0
1388,0.0,1.0
1436,0.5,1.0
2296,0.0,1.0
3234,0.0,1.0
3935,0.0,1.0
9544,0.0,1.0
-182,0.0,1.0
-151,0.0,0.5
214,0.27835051546391754,0.9278350515463918
449,0.2727272727272727,0.9545454545454546
461,0.2222222222222222,1.0
538,0.38461538461538464,1.0
719,0.0,1.0
1024,0.25,1.0
1284,0.0,1.0
1478,0.0,1.0
2231,0.0,1.0
2855,0.5,1.0
2921,0.0,1.0
3769,0.0,1.0
4135,0.0,1.0
5472,0.0,0.0
-163,0.5,0.5
252,0.2413793103448276,0.9310344827586207
419,0.32142857142857145,0.8928571428571429
556,0.35294117647058826,0.9411764705882353
593,0.15384615384615385,1.0
816,0.16666666666666666,1.0
818,0.25,1.0
874,0.16666666666666666,1.0
1266,0.0,1.0
1373,0.0,0.0
1475,0.0,1.0
1647,0.0,1.0
1696,0.0,1.0
3449,0.0,1.0
